순위,관광지ID,관심지점명,구분,연령대,비율
1,aa6be6a4f5997ab91804f3b6be58e878,코엑스,문화생활시설,50,14.0	
2,b605a838036e13947e8dd11697cdd276,예술의전당,문화생활시설,50,7.7	
3,d6e7d2e0ef86a25cce60aac5332b28dc,국립중앙박물관,문화생활시설,50,6.6	
4,f4cb0345c02d72995cc67111ef093ead,롯데월드잠실점,레저/스포츠,50,4.5	
5,6a4932d3f2787d25a04b758ba68e9db2,어린이대공원,레저/스포츠,50,4.3	
6,97c0a1427be208a8ca50e879baa895c4,올림픽공원,관광명소,50,4.1	
7,ac50c8b01e74f605a64ac86543f58c2a,헌릉과 인릉,관광명소,50,3.7	
8,b9dc3865498d79141065bc74ea791de7,CGV용산아이파크몰,문화생활시설,50,3.7	
9,6e83a36a9b7bd04680c637b8f44a99ab,봉은사,종교,50,3.5	
10,48d711bc1a903d95d891501dd96cdf06,경복궁,관광명소,50,3.2	
11,8ba57fda99dae27f1df09914dc84eb37,서울월드컵경기장,레저/스포츠,50,3.1	
12,4c259dd1d968533026e3c9a60cc4c34a,서울숲,관광명소,50,3.1	
13,94b37da181384604e8bdf68b3217008e,여의도한강공원,관광명소,50,2.8	
14,8f9c104f2123fcd914e1cf5de0baef0b,서울식물원,관광명소,50,2.8	
15,4ad99170855561c905cd752d5890235a,국립극장,문화생활시설,50,2.7	
16,72052bd332dcb27c72a17ad8b6cf960a,국립현대미술관서울관,문화생활시설,50,2.5	
17,273e0e5b0ac26479b4d07c1f7be5b5a0,잠실야구장,레저/스포츠,50,2.5	
18,81bf1d15ad057d0cc8f1eb7bc402dd7c,전쟁기념관,문화생활시설,50,2.4	
19,7604329d44b67a24da33a6315b69679d,코엑스마곡,문화생활시설,50,2.4	
20,7a26ab6765d89defa50ba1df5722052c,고척스카이돔,레저/스포츠,50,2.3	
21,9dac72fa7ebfaa2eca0d9f9e4e8ddcff,팔각정북악스카이,관광명소,50,2.2	
22,35b40620245d33f92227e62f5d890917,진관사,종교,50,2.0	
23,e8db6383a56dd839d95281dd990a271e,SETEC,문화생활시설,50,1.9	
24,6edf57b62b9e53b1b81a3d3f9c12168b,인서울27골프클럽,레저/스포츠,50,1.9	
25,01e79fc8250ddb6ecb15f44f0ba5333c,대한민국예술인센터,문화생활시설,50,1.9	
26,1d97509dda804ea7abc88d81971a0322,북서울꿈의숲,관광명소,50,1.8	
27,eae638a0117eda42a27a586f77cc0cd3,반포한강공원,관광명소,50,1.7	
28,efe0cec96bdcb5d3a95caa3c9e3062e7,조계사,종교,50,1.7	
29,b2e840beb2fcb66bb33d988c822656ad,뚝섬한강공원,관광명소,50,1.7	
30,04ca0327428ef426296aca487a49cd2a,LG아트센터서울,문화생활시설,50,1.6	
