순위,기준년월,시도명,시군구명,관광지ID,관심지점명,구분,연령대,성장율
1,202602,서울특별시,노원구,8ac8842e8c6b6842dd1975cb77b53595,노원기차마을,문화생활시설,30,108.4	
2,202602,서울특별시,송파구,2d25b7922940c7eaf85eb43d06e276c1,소마미술관,문화생활시설,30,77.7	
3,202602,서울특별시,송파구,5df204f08b71197845dcd3d1c3540138,롯데월드어드벤쳐,레저/스포츠,30,68.7	
4,202602,서울특별시,송파구,88a408abae8e6b955e99b5df087fd46d,송파근린공원,관광명소,30,65.8	
5,202602,서울특별시,용산구,0e105f50aee89d36873278b77072de7f,남산공원,관광명소,30,59.3	
6,202602,서울특별시,강동구,bd0bf05f1d9118ea7849efecd32da2d7,강동아트센터,문화생활시설,30,57.6	
7,202602,서울특별시,양천구,6684e41deedd55175bd3f2634d856297,키즈런스포츠파크목동점,레저/스포츠,30,56.7	
8,202602,서울특별시,송파구,e924c7fadc94cacc05576900de5d8476,석촌고분공원,관광명소,30,56.2	
9,202602,서울특별시,종로구,ba980a1877ef9902368f5ec3f80ab30e,청계천,놀거리,30,55.4	
10,202602,서울특별시,구로구,fb8107ee63746c9fcb2f1a1c502f99f8,구로아트밸리예술극장,문화생활시설,30,55.1	
