순위,시도명,시군구명,행정동명,관광객수,전년동기관광객수,증감율,기준년월,조회일자
1,서울특별시,강서구,화곡8동,5468068.0,2435867.0,124.5	,202602,202512~202602
2,서울특별시,성북구,장위2동,587216.0,313215.0,87.5	,202602,202512~202602
3,서울특별시,성북구,석관동,1168804.0,673404.0,73.6	,202602,202512~202602
4,서울특별시,송파구,잠실4동,1027274.0,628978.0,63.3	,202602,202512~202602
5,서울특별시,성북구,월곡1동,1903293.0,1165829.0,63.3	,202602,202512~202602
6,서울특별시,성북구,장위1동,670848.0,412965.0,62.4	,202602,202512~202602
7,서울특별시,서초구,반포본동,629178.0,391776.0,60.6	,202602,202512~202602
8,서울특별시,강서구,화곡2동,296135.0,189805.0,56.0	,202602,202512~202602
9,서울특별시,동작구,사당1동,3029901.0,1964792.0,54.2	,202602,202512~202602
10,서울특별시,강동구,암사1동,1191141.0,785589.0,51.6	,202602,202512~202602
