기준년월,국가명,키워드,언급량
202601,글로벌,K-Culture 관련 거리,472
202601,글로벌,K-공연관람,46568
202601,글로벌,K-굿즈,180
202601,글로벌,K-댄스 배우기,5231
202601,글로벌,K-덕질,14883
202601,글로벌,K-드라마/영화 관련 대상지,5107
202601,글로벌,K-예능 대상지,83
202601,글로벌,K-팝업 스토어,296
202601,글로벌,엔터테인먼트 방문(HYBE_ SM_ JYP),2112
202601,글로벌,촬영지,509
202602,글로벌,K-Culture 관련 거리,509
202602,글로벌,K-공연관람,38635
202602,글로벌,K-굿즈,391
202602,글로벌,K-댄스 배우기,2596
202602,글로벌,K-덕질,7736
202602,글로벌,K-드라마/영화 관련 대상지,6159
202602,글로벌,K-예능 대상지,105
202602,글로벌,K-팝업 스토어,19
202602,글로벌,엔터테인먼트 방문(HYBE_ SM_ JYP),897
202602,글로벌,촬영지,370
